1,0,0
2,0,0
3,0,0
4,0.707,0.455138
5,0.795,0.403702
6,0.831,0.374752
7,0.714,0.451889
8,0.731,0.44344
9,0.773,0.418893
10,0.712,0.452831
11,0.718,0.449973
12,0.741,0.438086
13,1.619,0.637055
14,1.633,0.627942
15,1.634,0.584845
16,1.603,0.614322
17,1.647,0.603648
18,1.621,0.636678
19,1.643,0.565288
20,1.656,0.56184
21,1.668,0.551159
22,1.619,0.629157
23,1.655,0.542195
24,1.651,0.557852
25,1.67,0.604235
26,1.532,0.709208
27,1.578,0.637115
28,1.609,0.614914
29,1.527,0.698048
30,1.595,0.662552
31,1.633,0.608532
32,1.58,0.655439
33,1.686,0.575677
34,2.542,0.766965
35,1.603,0.641398
36,1.632,0.61039
37,1.621,0.627183
38,2.542,0.759102
39,1.608,0.610193
40,2.54,0.745922
41,2.535,0.734013
42,2.597,0.715955
43,2.587,0.745943
44,2.538,0.743341
45,2.553,0.728829
46,2.55,0.750666
47,2.499,0.746993
48,2.6,0.7
49,2.57,0.717705
50,2.592,0.716614
51,2.516,0.79104
52,2.521,0.691056
53,2.579,0.718164
54,2.578,0.715483
55,2.528,0.815608
56,2.511,0.716854
57,2.546,0.746916
58,2.524,0.735815
59,2.599,0.691519
60,2.551,0.720693
61,2.521,0.803467
62,2.521,0.76391
63,2.57,0.713512
64,2.579,0.746833
65,2.585,0.693379
66,2.575,0.691647
67,2.541,0.682876
68,2.54,0.731027
69,2.55,0.674907
70,2.56,0.752596
71,2.527,0.737069
72,2.523,0.762542
73,2.596,0.677336
74,2.629,0.665852
75,2.56,0.76184
76,2.567,0.696786
77,2.476,0.814508
78,2.562,0.743072
79,2.481,0.754744
80,2.517,0.789754
81,2.558,0.722936
82,2.592,0.734531
83,2.502,0.803739
84,2.54,0.739189
85,2.514,0.784732
86,2.524,0.759884
87,2.571,0.727296
88,2.498,0.812401
89,2.553,0.759731
90,2.581,0.742589
91,2.503,0.753652
92,2.503,0.79749
93,2.473,0.786938
94,2.54,0.71861
95,2.53,0.796932
96,2.549,0.72636
97,2.561,0.763072
98,2.596,0.689046
99,2.558,0.727074
100,2.498,0.789934
101,2.552,0.71505
102,2.572,0.752872
103,2.546,0.70419
104,2.517,0.742773
105,2.539,0.760578
106,2.566,0.708268
107,2.553,0.749127
108,2.552,0.754517
109,2.602,0.692529
110,2.55,0.73858
111,2.503,0.756301
112,2.526,0.75188
113,2.463,0.811561
114,2.587,0.703158
115,2.558,0.743395
116,2.513,0.769306
117,2.515,0.767968
118,3.429,0.866579
119,3.519,0.779512
120,2.545,0.74295
121,3.524,0.815735
122,3.483,0.851887
123,2.529,0.728807
124,3.555,0.780369
125,2.533,0.766101
126,3.514,0.770587
127,3.503,0.791196
128,3.469,0.826462
129,3.513,0.807361
130,2.499,0.745653
131,3.513,0.85313
132,3.515,0.760115
133,3.561,0.765689
134,3.525,0.820594
135,3.478,0.81824
136,3.515,0.784713
137,3.527,0.794526
